数据来源文件,公司名称,岗位名称,原始薪资,最低薪资元每月,最高薪资元每月,平均薪资元每月,关键词,标签,经验要求,学历要求,原始工作地点,标准工作地点,城市,区县,商圈乡镇,公司性质,公司规模,公司行业
产品经理.csv,三棵树涂料股份有限公司,产品经理,1.3-2万,13000.0,20000.0,16500.0,未知,未知,经验不限,本科,上海·青浦·徐泾,上海·青浦·徐泾,上海,青浦,徐泾,上市公司,10000人以上,建材
产品经理.csv,河北汇友网络科技有限公司,产品经理,5000-10000元,5000.0,10000.0,7500.0,技术沟通、方案制定、安全产品、硬件产品、产品培训、标书准备,技术沟通,经验不限,大专,邯郸·丛台区·兼庄乡,邯郸·丛台区·兼庄乡,邯郸,丛台区,兼庄乡,民营,20-99人,IT服务
产品经理.csv,福建省力诚食品有限公司,产品经理,1-1.5万,10000.0,15000.0,12500.0,未知,未知,经验不限,本科,泉州·晋江市·灵源街道,泉州·晋江市·灵源街道,泉州,晋江市,灵源街道,民营,1000-9999人,快速消费品
产品经理.csv,陕西万聚天合电子科技有限公司,产品经理,8000-14000元,8000.0,14000.0,11000.0,电商产品,电商产品,1-3年,本科,西安·雁塔·小寨路,西安·雁塔·小寨路,西安,雁塔,小寨路,民营,100-299人,电子商务
产品经理.csv,北京市海讯达通信有限责任公司,产品经理,8000-12000元·14薪,9333.33,14000.0,11666.67,未知,未知,3-5年,本科,北京·东城·龙潭,北京·东城·龙潭,北京,东城,龙潭,国企,100-299人,运营商/增值服务
产品经理.csv,山西自定义科技有限公司,产品经理,4000-6000元,4000.0,6000.0,5000.0,硬件产品、墨刀,硬件产品,1-3年,大专,长治,长治,长治,未知,未知,民营,100-299人,计算机软件
产品经理.csv,江苏叁拾叁智慧农业有限公司,产品经理,8000-15000元,8000.0,15000.0,11500.0,ERP系统、财务系统、OA系统,ERP系统,3-5年,学历不限,南京·栖霞·马群,南京·栖霞·马群,南京,栖霞,马群,民营,100-299人,互联网
产品经理.csv,杨掌柜食品科技(河南)有限公司,产品经理,8000-10000元,8000.0,10000.0,9000.0,未知,未知,经验不限,大专,郑州·管城·圃田,郑州·管城·圃田,郑州,管城,圃田,民营,1000-9999人,食品/饮料
产品经理.csv,BCC商霖华通,产品经理,2-2.1万,20000.0,21000.0,20500.0,数据产品、策略产品,数据产品,经验不限,学历不限,上海·静安·南京西路,上海·静安·南京西路,上海,静安,南京西路,外商独资,100-299人,咨询服务
产品经理.csv,杭州云戟信息咨询有限公司,产品经理,1.8-2.5万,18000.0,25000.0,21500.0,未知,未知,经验不限,学历不限,杭州·上城·四季青,杭州·上城·四季青,杭州,上城,四季青,其它,100-299人,投资/融资
产品经理.csv,河北御芝林生物科技有限公司,产品经理,8000-12000元,8000.0,12000.0,10000.0,电商产品,电商产品,经验不限,本科,石家庄·裕华·长江,石家庄·裕华·长江,石家庄,裕华,长江,民营,1000-9999人,医药制造
产品经理.csv,山东七河生物科技股份有限公司,产品经理,8000-12000元,8000.0,12000.0,10000.0,策略产品、市场调研、数据分析、食品类、营销策划,策略产品,3-5年,本科,淄博·淄川区·将军路街道,淄博·淄川区·将军路街道,淄博,淄川区,将军路街道,股份制企业,1000-9999人,农/林/牧/渔
产品经理.csv,宁波方太营销有限公司临汾服务分公司,产品经理,8000-11000元,8000.0,11000.0,9500.0,新零售、装饰装修、建材行业、功能产品,新零售,经验不限,本科,临汾·尧都区·解放路街道,临汾·尧都区·解放路街道,临汾,尧都区,解放路街道,其它,100-299人,家具/家居/家电
产品经理.csv,深圳市泛在联通科技有限公司,产品经理,8000-11000元,8000.0,11000.0,9500.0,SAAS产品、产品规划、需求分析、产品设计、物联网产品、智慧城市产品、财务产品、平台产品,SAAS产品,1-3年,本科,深圳·南山·粤海,深圳·南山·粤海,深圳,南山,粤海,民营,20人以下,计算机软件
产品经理.csv,牧原股份,产品经理,2.5-4万,25000.0,40000.0,32500.0,软件产品、硬件产品、AI产品,软件产品,经验不限,本科,深圳·南山·蛇口,深圳·南山·蛇口,深圳,南山,蛇口,上市公司,10000人以上,农/林/牧/渔
产品经理.csv,金职伟业集团有限公司,产品经理,6000-8000元·13薪,6500.0,8666.67,7583.33,内容产品,内容产品,1-3年,本科,长沙·雨花·雨花亭,长沙·雨花·雨花亭,长沙,雨花,雨花亭,民营,100-299人,培训/辅导服务
产品经理.csv,正大集团,产品经理,6000-9000元·13薪,6500.0,9750.0,8125.0,党员学生会干部,党员 学生会干部,经验不限,本科,衡水·郑口镇,衡水·郑口镇,衡水,郑口镇,未知,外商独资,10000人以上,农/林/牧/渔
产品经理.csv,中辉智造(天津)企业管理咨询有限公司,产品经理,1.5-2万,15000.0,20000.0,17500.0,软件产品、硬件产品、AI产品、智能问答产品、大模型产品、ERP系统,软件产品,经验不限,本科,北京·朝阳,北京·朝阳,北京,朝阳,未知,民营,20-99人,咨询服务
产品经理.csv,广西富丰集团有限公司,产品经理,8000-12000元,8000.0,12000.0,10000.0,未知,未知,5-10年,本科,南宁·兴宁·兴东,南宁·兴宁·兴东,南宁,兴宁,兴东,民营,1000-9999人,农/林/牧/渔
产品经理.csv,徐州威卡电子控制技术有限公司,产品经理,8000-13000元,8000.0,13000.0,10500.0,市场调研、产品规划、需求分析、用户研究,市场调研,3-5年,本科,徐州·鼓楼区·东环街道,徐州·鼓楼区·东环街道,徐州,鼓楼区,东环街道,合资,500-999人,电子/半导体/集成电路
产品经理.csv,杭州翔基云创信息技术有限公司,产品经理,1-1.5万,10000.0,15000.0,12500.0,未知,未知,3-5年,本科,杭州·拱墅·武林,杭州·拱墅·武林,杭州,拱墅,武林,其它,100-299人,IT服务
产品经理.csv,北京航空航天大学合肥创新研究院,产品经理,1.3-2万·14薪,15166.67,23333.33,19250.0,交通运输,交通运输,3-5年,本科,合肥·瑶海,合肥·瑶海,合肥,瑶海,未知,事业单位,100-299人,学术/科研
产品经理.csv,湖南云科智地网络科技有限公司,产品经理,1-1.5万,10000.0,15000.0,12500.0,云计算产品、SAAS产品、Axure、墨刀、产品规划、需求分析、产品设计、TOB,云计算产品,3-5年,本科,长沙·天心·城南路,长沙·天心·城南路,长沙,天心,城南路,其它,20-99人,计算机软件
产品经理.csv,三门峡云硕智能科技有限公司,产品经理,6000-12000元,6000.0,12000.0,9000.0,数据产品,数据产品,1-3年,大专,三门峡·陕州区·大营镇,三门峡·陕州区·大营镇,三门峡,陕州区,大营镇,其它,20-99人,物联网
产品经理.csv,河南经方云科技有限公司,产品经理,8000-15000元,8000.0,15000.0,11500.0,Linux、MySQL、产品设计、用户研究、Axure、Xmind、TOC,Linux,3-5年,本科,郑州·中原·沟赵,郑州·中原·沟赵,郑州,中原,沟赵,民营,20-99人,人工智能
产品经理.csv,临沂市新商网络技术有限公司,产品经理,6000-12000元,6000.0,12000.0,9000.0,需求分析、产品规划、智慧城市产品、功能产品、人工智能产品、ERP产品、云计算产品、项目管理,需求分析,1-3年,大专,临沂·柳青,临沂·柳青,临沂,柳青,未知,股份制企业,100-299人,互联网
产品经理.csv,吉林省珍实惠超市连锁经营有限公司,产品经理,6000-8000元,6000.0,8000.0,7000.0,大健康、保险,大健康,经验不限,大专,长春·二道·东方广场,长春·二道·东方广场,长春,二道,东方广场,民营,100-299人,新零售
产品经理.csv,中瑞集团,产品经理,5000-8000元·13薪,5416.67,8666.67,7041.67,未知,未知,1-3年,本科,青岛·李沧·世园,青岛·李沧·世园,青岛,李沧,世园,民营,1000-9999人,互联网
产品经理.csv,杨掌柜食品科技(河南)有限公司,产品经理,1-2万,10000.0,20000.0,15000.0,未知,未知,经验不限,大专,郑州·管城·圃田,郑州·管城·圃田,郑州,管城,圃田,民营,1000-9999人,食品/饮料
产品经理.csv,教育科学出版社有限公司,产品经理,1-2万,10000.0,20000.0,15000.0,B端产品、内容产品、AI产品、云计算产品,B端产品,3-5年,本科,北京·朝阳·大屯,北京·朝阳·大屯,北京,朝阳,大屯,国企,100-299人,新闻/出版
产品经理.csv,北京世联众和科技有限公司,产品经理,9000-13000元,9000.0,13000.0,11000.0,社交产品、内容产品、C端,社交产品,经验不限,大专,北京·海淀·万寿路,北京·海淀·万寿路,北京,海淀,万寿路,20-99人,互联网,未知
产品经理.csv,山东红马创业投资管理有限公司,产品经理,1.2-1.8万,12000.0,18000.0,15000.0,商业化产品、策略产品、电商产品,商业化产品,经验不限,本科,济南·历下,济南·历下,济南,历下,未知,其它,300-499人,医疗设备/器械
产品经理.csv,河南策知科教有限公司,产品经理,8000-13000元,8000.0,13000.0,10500.0,AI产品,AI产品,3-5年,本科,郑州·金水·祭城路,郑州·金水·祭城路,郑州,金水,祭城路,其它,20-99人,互联网
产品经理.csv,宁夏夏进乳业集团股份有限公司,产品经理,8000-15000元,8000.0,15000.0,11500.0,未知,未知,1-3年,大专,上海·静安·共和新路,上海·静安·共和新路,上海,静安,共和新路,股份制企业,1000-9999人,快速消费品
产品经理.csv,国科智造(滨州)科技发展有限公司,产品经理,8000-16000元,8000.0,16000.0,12000.0,软件产品、MES系统、CRM系统、DMS,软件产品,3-5年,学历不限,滨州·滨城区·杜店街道,滨州·滨城区·杜店街道,滨州,滨城区,杜店街道,民营,500-999人,人工智能
产品经理.csv,山东数字人科技股份有限公司,产品经理,8000-13000元,8000.0,13000.0,10500.0,IT/互联网、软件行业、Axure、Xmind、Visio,IT/互联网,3-5年,本科,济南·历下·智远,济南·历下·智远,济南,历下,智远,股份制企业,100-299人,IT服务
产品经理.csv,山东东莱融创仪器设备有限公司,产品经理,5000-10000元,5000.0,10000.0,7500.0,增长产品、策略产品、产品规划、需求分析、团队协作,增长产品,经验不限,大专,烟台·莱山·初家,烟台·莱山·初家,烟台,莱山,初家,民营,20人以下,医疗设备/器械
产品经理.csv,河南盛大智能印刷集团有限责任公司,产品经理,8000-15000元,8000.0,15000.0,11500.0,未知,未知,经验不限,本科,郑州·金水·祭城路,郑州·金水·祭城路,郑州,金水,祭城路,民营,1000-9999人,印刷/包装/造纸
产品经理.csv,贵州航天智慧农业有限公司,产品经理,8000-12000元,8000.0,12000.0,10000.0,政府项目、C端产品、B端产品、信息系统、商业产品、生活服务产品、产品规划、需求分析,政府项目,3-5年,本科,贵阳,贵阳,贵阳,未知,未知,国企,100-299人,计算机软件
产品经理.csv,广东四维科技有限公司,产品经理,8000-15000元,8000.0,15000.0,11500.0,未知,未知,3-5年,本科,惠州·惠城区·三栋镇,惠州·惠城区·三栋镇,惠州,惠城区,三栋镇,民营,20-99人,电力/水利/热力/燃气
产品经理.csv,重庆茜芙渌酒店管理有限公司,产品经理,5000-7000元·13薪,5416.67,7583.33,6500.0,未知,未知,经验不限,学历不限,西安·柏树林,西安·柏树林,西安,柏树林,未知,20人以下,零售/批发,未知
产品经理.csv,贵州锦汇商贸有限公司,产品经理,6000-12000元,6000.0,12000.0,9000.0,安全产品、智慧服务、电商产品、网络安全产品、数据安全产品、智慧城市、智能制造、智慧社区,安全产品,经验不限,学历不限,铜仁·河西街道,铜仁·河西街道,铜仁,河西街道,未知,20人以下,电子商务,未知
产品经理.csv,江苏主人翁传媒有限公司,产品经理,3000-6000元,3000.0,6000.0,4500.0,活泼开朗,活泼开朗,经验不限,大专,淮安·淮城街道,淮安·淮城街道,淮安,淮城街道,未知,100-299人,企业服务,未知
产品经理.csv,山东亿嘉农化有限公司,产品经理,8000-12000元,8000.0,12000.0,10000.0,未知,未知,5-10年,大专,潍坊·寿光·古城,潍坊·寿光·古城,潍坊,寿光,古城,民营,1000-9999人,金属制品业
产品经理.csv,河南奈福生物科技有限公司,产品经理,4000-8000元,4000.0,8000.0,6000.0,未知,未知,经验不限,学历不限,郑州·管城·圃田,郑州·管城·圃田,郑州,管城,圃田,民营,20-99人,农/林/牧/渔
产品经理.csv,厦门路桥信息股份有限公司,产品经理,8000-12000元·13薪,8666.67,13000.0,10833.33,软件产品,软件产品,3-5年,学历不限,厦门·集美·杏林,厦门·集美·杏林,厦门,集美,杏林,上市公司,500-999人,IT服务
产品经理.csv,安徽云轨信息科技有限公司,产品经理,8000-16000元·13薪,8666.67,17333.33,13000.0,软件产品,软件产品,1-3年,本科,南京·建邺·沙洲,南京·建邺·沙洲,南京,建邺,沙洲,民营,100-299人,计算机软件
产品经理.csv,甘肃江子为民养老服务股份有限公司,产品经理,5000-10000元,5000.0,10000.0,7500.0,商业化产品、智慧服务、智慧社区,商业化产品,3-5年,本科,兰州·城关区·雁园街道,兰州·城关区·雁园街道,兰州,城关区,雁园街道,股份制企业,500-999人,专业技术服务
产品经理.csv,山东新松工业软件研究院股份有限公司,产品经理,1.2-2万,12000.0,20000.0,16000.0,软件产品、MES系统,软件产品,经验不限,本科,济南·历城·港沟,济南·历城·港沟,济南,历城,港沟,股份制企业,100-299人,工业自动化
产品经理.csv,河北能瑞科技有限公司,产品经理,7000-10000元,7000.0,10000.0,8500.0,产品交付经验、电网项目,产品交付经验,1-3年,本科,石家庄·裕华·东苑,石家庄·裕华·东苑,石家庄,裕华,东苑,民营,100-299人,计算机软件
产品经理.csv,中美联泰大都会人寿保险有限公司宁波中心支公司,产品经理,1.9-3.5万·14薪,22166.67,40833.33,31500.0,策略产品、数据产品、安全产品,策略产品,1-3年,大专,北京·朝阳·呼家楼,北京·朝阳·呼家楼,北京,朝阳,呼家楼,合资,100-299人,保险
产品经理.csv,中国科学院广州能源研究所,产品经理,1.2-1.8万,12000.0,18000.0,15000.0,软件产品、AI产品、数据产品,软件产品,1-3年,本科,广州·天河·五山,广州·天河·五山,广州,天河,五山,事业单位,500-999人,学术/科研
