数据来源文件,公司名称,岗位名称,原始薪资,最低薪资元每月,最高薪资元每月,平均薪资元每月,关键词,标签,经验要求,学历要求,原始工作地点,标准工作地点,城市,区县,商圈乡镇,公司性质,公司规模,公司行业
公关.csv,北京吉海川科技发展有限公司,公关关系经理,6000-8000元,6000.0,8000.0,7000.0,政府公关、商务公关,政府公关,5-10年,本科,泰安·岱岳区·大汶口镇,泰安·岱岳区·大汶口镇,泰安,岱岳区,大汶口镇,民营,300-499人,石油/石化
公关.csv,长春市惠帮法律咨询有限公司,商务公关,3000-6000元,3000.0,6000.0,4500.0,政府公关、活动公关、品牌公关,政府公关,经验不限,本科,长春·朝阳·清和,长春·朝阳·清和,长春,朝阳,清和,20-99人,咨询服务,未知
公关.csv,中科翼天(山东)低空科技有限公司,公关经理,5000-10000元,5000.0,10000.0,7500.0,乙方公司、政府公关、商务公关、有经验的优先,乙方公司,1-3年,学历不限,烟台·古现,烟台·古现,烟台,古现,未知,20人以下,船舶/航空/航天/火车制造,未知
公关.csv,贵州三力制药股份有限公司,KA经理,7000-9000元,7000.0,9000.0,8000.0,未知,未知,1-3年,大专,阜阳·颍东区·河东街道,阜阳·颍东区·河东街道,阜阳,颍东区,河东街道,上市公司,1000-9999人,医药制造
公关.csv,上海才集商务咨询有限公司,PR,1.5-2.5万,15000.0,25000.0,20000.0,甲方市场部、品牌方向、公关方向,甲方市场部,经验不限,本科,苏州·吴中·太湖,苏州·吴中·太湖,苏州,吴中,太湖,民营,20人以下,互联网
公关.csv,深圳万物商企物业服务有限公司,活动及接待主管（前台运营及业务活动保障方向）,1-1.3万,10000.0,13000.0,11500.0,大型活动、会务接待,大型活动,3-5年,本科,北京·朝阳,北京·朝阳,北京,朝阳,未知,合资,10000人以上,物业管理
公关.csv,广州智丞电子商务有限公司,女装pr专员,7000-9000元,7000.0,9000.0,8000.0,商务公关、小红书、女装、PR,商务公关,1-3年,学历不限,广州·海珠·瑞宝,广州·海珠·瑞宝,广州,海珠,瑞宝,民营,100-299人,电子商务
公关.csv,北京外企人力资源服务有限公司,品牌公关专员-英语流利,1-1.5万·13薪,10833.33,16250.0,13541.67,甲方市场部、广告/公关公司、英语可作为工作语言、短视频制作经验,甲方市场部,经验不限,本科,北京·顺义·空港,北京·顺义·空港,北京,顺义,空港,国企,1000-9999人,人力资源服务
公关.csv,盘锦市兴隆台区凯飞文化传媒工作室(个体工商户),商务公关,9000-10000元,9000.0,10000.0,9500.0,媒体公关,媒体公关,经验不限,学历不限,葫芦岛,葫芦岛,葫芦岛,未知,未知,20人以下,文化艺术/娱乐,未知
公关.csv,外企德科数字技术有限公司,营销专员（公关传播/体验活动）,1.4-2.2万,14000.0,22000.0,18000.0,公关营销,公关营销,1-3年,本科,武汉·汉南·纱帽,武汉·汉南·纱帽,武汉,汉南,纱帽,合资,10000人以上,专业技术服务
公关.csv,天健谦和管理咨询(北京)有限公司,高端人脉关系维护服务对接,2000-4000元,2000.0,4000.0,3000.0,商务公关、活动公关、政府公关、气质好身材佳忠诚守信,商务公关,经验不限,学历不限,北京·昌平·南邵,北京·昌平·南邵,北京,昌平,南邵,20人以下,咨询服务,未知
公关.csv,河南省慷合食品有限公司,品牌公关,1-1.6万,10000.0,16000.0,13000.0,甲方市场部、公关方向,甲方市场部,5-10年,大专,郑州·管城·圃田,郑州·管城·圃田,郑州,管城,圃田,民营,1000-9999人,农副产品加工制造
