数据来源文件,公司名称,岗位名称,原始薪资,最低薪资元每月,最高薪资元每月,平均薪资元每月,关键词,标签,经验要求,学历要求,原始工作地点,标准工作地点,城市,区县,商圈乡镇,公司性质,公司规模,公司行业
市场营销.csv,上海蓝木化工有限公司,（深圳）底薪10K 市场营销/市场拓展,1-2万,10000.0,20000.0,15000.0,市场推广、市场策划、市场拓展、品牌营销、整合营销、公关营销、市场专员、市场运营,市场推广,经验不限,学历不限,深圳·南山·桃源,深圳·南山·桃源,深圳,南山,桃源,合资,300-499人,生物工程
市场营销.csv,北财智投(杭州)信息科技有限公司,市场营销推广,6000-10000元,6000.0,10000.0,8000.0,市场策划、品牌营销、创意内容创作、市场调研,市场策划,经验不限,大专,杭州·拱墅·上塘,杭州·拱墅·上塘,杭州,拱墅,上塘,其它,20-99人,专业技术服务
市场营销.csv,外企德科,互联网数字营销运营/市场营销运营+周末双休,1.4-1.8万,14000.0,18000.0,16000.0,网络营销、海外营销、数字营销、面试定薪、周末双休,网络营销,经验不限,本科,上海·浦东·洋泾,上海·浦东·洋泾,上海,浦东,洋泾,合资,10000人以上,人力资源服务
市场营销.csv,郑州清宵健康管理有限公司,单身经济市场营销,1-1.5万,10000.0,15000.0,12500.0,单身经济、橙人用品,单身经济,经验不限,学历不限,郑州·二七区·嵩山路,郑州·二七区·嵩山路,郑州,二七区,嵩山路,20人以下,医疗设备/器械,未知
市场营销.csv,常州瑞明药业股份有限公司,市场营销专员,7000-12000元,7000.0,12000.0,9500.0,市场营销、市场推广,市场营销,1-3年,本科,常州·新北·三井,常州·新北·三井,常州,新北,三井,民营,100-299人,医药制造
市场营销.csv,太原燊光咨询服务有限公司,市场营销,3000-6000元,3000.0,6000.0,4500.0,未知,未知,经验不限,学历不限,太原·义井,太原·义井,太原,义井,未知,20人以下,居民服务,未知
市场营销.csv,泰康之家经营管理有限公司,市场营销管培生,6000-8000元·13薪,6500.0,8666.67,7583.33,未知,未知,经验不限,本科,福州·晋安·岳峰,福州·晋安·岳峰,福州,晋安,岳峰,民营,10000人以上,养老/孤儿/看护
市场营销.csv,外企德科数字技术有限公司,大众点评市场营销专员,9000-13000元,9000.0,13000.0,11000.0,市场营销、活动策划、媒介投放,市场营销,1-3年,大专,上海·杨浦·大桥,上海·杨浦·大桥,上海,杨浦,大桥,合资,10000人以上,专业技术服务
市场营销.csv,中国人寿保险股份有限公司郑州市分公司,央企直聘市场营销经理,1-1.5万,10000.0,15000.0,12500.0,市场营销、市场推广、市场策划,市场营销,经验不限,大专,郑州·金水·丰产路,郑州·金水·丰产路,郑州,金水,丰产路,上市公司,1000-9999人,保险
市场营销.csv,沈阳市和平区桃桃美学美容中心(个体工商户),美业咨询师、服务老师、市场营销、0基础可入行,8000-12000元,8000.0,12000.0,10000.0,人事、美容护肤、市场推广,人事,经验不限,学历不限,沈阳·和平·南湖,沈阳·和平·南湖,沈阳,和平,南湖,20-99人,美发/美容/保健,未知
市场营销.csv,SELLECK上海赛徕克生物科技有限公司,市场研究员/市场专员/市场营销,1-2万,10000.0,20000.0,15000.0,市场调研、商业调研、行业调研、定性研究、定量研究、问卷调研、可用性分析,市场调研,经验不限,本科,上海·浦东·康桥,上海·浦东·康桥,上海,浦东,康桥,合资,300-499人,生物工程
市场营销.csv,博岳通信,市场营销管培生,6000-9000元,6000.0,9000.0,7500.0,市场拓展、公关营销,市场拓展,经验不限,本科,石家庄·裕华·宋营,石家庄·裕华·宋营,石家庄,裕华,宋营,民营,10000人以上,运营商/增值服务
市场营销.csv,昆明康知语健康咨询有限公司,中医市场营销,8000-16000元,8000.0,16000.0,12000.0,中医理疗科、中医内科、针灸推拿科、热爱中医、中医学习、康复中心、诊所、私立医院,中医理疗科,经验不限,学历不限,昆明·官渡·矣六,昆明·官渡·矣六,昆明,官渡,矣六,民营,100-299人,医美/健康服务
市场营销.csv,厦门银行,2026分行市场营销类,1-1.5万,10000.0,15000.0,12500.0,管理培训生,管理培训生,经验不限,本科,厦门·思明·筼筜,厦门·思明·筼筜,厦门,思明,筼筜,上市公司,1000-9999人,银行
市场营销.csv,湖南联资一号信息技术有限公司,市场营销+双休1万以上,1.2-2.4万,12000.0,24000.0,18000.0,整合营销、品牌营销、公关营销,整合营销,经验不限,学历不限,长沙·岳麓·观沙岭,长沙·岳麓·观沙岭,长沙,岳麓,观沙岭,民营,1000-9999人,租赁/拍卖/典当/担保
市场营销.csv,上海中谷物流股份有限公司,市场营销,6000-9000元,6000.0,9000.0,7500.0,整合营销、市场推广、市场策划,整合营销,经验不限,本科,南宁·良庆·良庆镇,南宁·良庆·良庆镇,南宁,良庆,良庆镇,上市公司,1000-9999人,货运/物流/仓储
市场营销.csv,北京五八信息技术有限公司,石家庄-接受应届毕业生-市场营销专员(J29780),8000-12000元,8000.0,12000.0,10000.0,未知,未知,经验不限,大专,石家庄·长安·广安,石家庄·长安·广安,石家庄,长安,广安,合资,10000人以上,互联网
市场营销.csv,深圳惠科新材料股份有限公司,市场营销专员,8000-10000元,8000.0,10000.0,9000.0,市场推广,市场推广,经验不限,本科,深圳·宝安·石岩,深圳·宝安·石岩,深圳,宝安,石岩,股份制企业,1000-9999人,电子/半导体/集成电路
市场营销.csv,威海双丰电子集团有限公司,海外市场营销（双休）,7000-10000元,7000.0,10000.0,8500.0,五险一金,五险一金,经验不限,本科,青岛·即墨·鳌山卫,青岛·即墨·鳌山卫,青岛,即墨,鳌山卫,民营,500-999人,仪器仪表制造
市场营销.csv,招商银行股份有限公司信用卡中心,市场营销专员,9000-14000元,9000.0,14000.0,11500.0,市场推广、市场拓展、零售,市场推广,经验不限,本科,深圳·福田·沙头,深圳·福田·沙头,深圳,福田,沙头,股份制企业,1000-9999人,银行
市场营销.csv,德视佳(上海)医疗管理有限公司,市场营销专员,7000-9000元,7000.0,9000.0,8000.0,市场策划、新媒体策划、活动策划、市场营销,市场策划,1-3年,大专,深圳·罗湖·桂园,深圳·罗湖·桂园,深圳,罗湖,桂园,上市公司,100-299人,医院
市场营销.csv,上海蓝木化工有限公司,（上海）底薪10K 市场营销/市场拓展,1-2万,10000.0,20000.0,15000.0,市场推广、市场策划、市场拓展、品牌营销、整合营销、公关营销、市场专员、市场运营,市场推广,经验不限,学历不限,上海·嘉定·安亭,上海·嘉定·安亭,上海,嘉定,安亭,合资,300-499人,生物工程
市场营销.csv,南通经贸技工学校,市场营销专业教师,5000-10000元,5000.0,10000.0,7500.0,未知,未知,经验不限,本科,南通·崇川·唐闸镇,南通·崇川·唐闸镇,南通,崇川,唐闸镇,学校/下级学院,500-999人,学校/学历教育
市场营销.csv,石家庄霆盛文化发展有限公司,市场营销 无经验带薪培训,8000-12000元,8000.0,12000.0,10000.0,团队管理经验、含销售性质,团队管理经验,经验不限,学历不限,石家庄·长安·青园,石家庄·长安·青园,石家庄,长安,青园,民营,20-99人,企业服务
市场营销.csv,酒泉市肃州区老年养护院心怡康医院,市场营销策划,5000-8000元,5000.0,8000.0,6500.0,市场策划、营销策划、活动策划,市场策划,经验不限,大专,酒泉·肃州区·东北街街道,酒泉·肃州区·东北街街道,酒泉,肃州区,东北街街道,100-299人,医院,未知
市场营销.csv,TCL中环能源科技（江苏）有限公司,2026年校园招聘-市场营销类岗位,6000-12000元,6000.0,12000.0,9000.0,市场拓展,市场拓展,经验不限,本科,苏州·工业园区,苏州·工业园区,苏州,工业园区,未知,民营,1000-9999人,新能源
