数据来源文件,公司名称,岗位名称,原始薪资,最低薪资元每月,最高薪资元每月,平均薪资元每月,关键词,标签,经验要求,学历要求,原始工作地点,标准工作地点,城市,区县,商圈乡镇,公司性质,公司规模,公司行业
广告.csv,吉林省晟泽泰人力资源有限公司,广告销售,1.1-1.9万,11000.0,19000.0,15000.0,互联网广告、搜索引擎广告、KA大客户、企业客户、电话销售、面销/陌拜、网络销售,互联网广告,经验不限,学历不限,长春·绿园·正阳,长春·绿园·正阳,长春,绿园,正阳,民营,1000-9999人,人力资源服务
广告.csv,广西七驰传媒有限公司,广告投放专员,4000-8000元,4000.0,8000.0,6000.0,未知,未知,1-3年,本科,南宁·青秀·南湖,南宁·青秀·南湖,南宁,青秀,南湖,100-299人,广告/营销,未知
广告.csv,外企德科,广告投放/腾讯/百度/阿里平台,7000-8000元,7000.0,8000.0,7500.0,未知,未知,经验不限,本科,杭州·西湖·转塘,杭州·西湖·转塘,杭州,西湖,转塘,合资,10000人以上,人力资源服务
广告.csv,渝北区童话森林文化传播工作室(个体工商户),短剧群演礼仪模特广告,8000-14000元,8000.0,14000.0,11000.0,模特、礼仪模特,模特,经验不限,学历不限,重庆,重庆,重庆,未知,未知,20-99人,广播/影视,未知
广告.csv,杭州五色云文化传播有限公司,广告文案策划兼商务助理,1-1.2万,10000.0,12000.0,11000.0,广告学、文案创作、户外广告、新媒体广告、网络广告、旅游广告、服装广告、母婴广告,广告学,经验不限,本科,杭州·长河,杭州·长河,杭州,长河,未知,股份制企业,20-99人,电子设备制造
广告.csv,上海神蓍信息科技有限公司,程序化广告运营专员,1-1.5万·13薪,10833.33,16250.0,13541.67,程序化广告运营、APP、小程序、ADX、SSP、程序化广告,程序化广告运营,经验不限,大专,上海·普陀·长寿路,上海·普陀·长寿路,上海,普陀,长寿路,20-99人,文化艺术/娱乐,未知
广告.csv,成都德红社文化传媒有限公司,平面服装模特/平面美妆模特/平面广告模特,8000-12000元,8000.0,12000.0,10000.0,男装模特、女装模特、氛围好、场地多、时间自由,男装模特,经验不限,学历不限,成都·金牛·金泉,成都·金牛·金泉,成都,金牛,金泉,20-99人,文化艺术/娱乐,未知
广告.csv,郑州初卓网络科技有限公司,独立站广告投放(J10060),6000-11000元,6000.0,11000.0,8500.0,独立站投放,独立站投放,经验不限,本科,西安·雁塔·丈八沟,西安·雁塔·丈八沟,西安,雁塔,丈八沟,民营,100-299人,电子商务
广告.csv,吉林省双新创业空间服务有限公司,信息流广告投放优化师,5000-10000元,5000.0,10000.0,7500.0,巨量千川、巨量引擎、电商、二类电商,巨量千川,经验不限,大专,长春·绿园·春城,长春·绿园·春城,长春,绿园,春城,合资,500-999人,新媒体
广告.csv,豆果美食,广告执行专员,8000-12000元,8000.0,12000.0,10000.0,未知,未知,1-3年,本科,北京·朝阳·朝外,北京·朝阳·朝外,北京,朝阳,朝外,外商独资,20-99人,互联网
广告.csv,河南广新广告有限公司,广告销售经理,1-1.8万,10000.0,18000.0,14000.0,户外媒体广告,户外媒体广告,经验不限,大专,郑州·管城·西大街,郑州·管城·西大街,郑州,管城,西大街,民营,100-299人,广告/营销
广告.csv,央拓国际融合传播集团有限公司,广告策划,1-1.8万,10000.0,18000.0,14000.0,策划、新媒体广告、移动广告,策划,经验不限,本科,北京·朝阳·呼家楼,北京·朝阳·呼家楼,北京,朝阳,呼家楼,国企,100-299人,新媒体
广告.csv,江苏盐城永邦人力资源有限公司,广告设计/年底双薪+早九晚五,1-1.5万,10000.0,15000.0,12500.0,网络广告设计、设计师、PS、AI、创意广告作品、客户沟通,网络广告设计,经验不限,中专/中技,深圳·南山·粤海,深圳·南山·粤海,深圳,南山,粤海,20-99人,人力资源服务,未知
广告.csv,宝鸡拓界纤能科技有限公司,facebook广告投放,4000-8000元,4000.0,8000.0,6000.0,未知,未知,1-3年,大专,西安·莲湖·桃园路,西安·莲湖·桃园路,西安,莲湖,桃园路,股份制企业,100-299人,新材料
广告.csv,石家庄北方医学中等专业学校,广告投放,8000-15000元,8000.0,15000.0,11500.0,媒介主管/经理、媒介总监、网络媒体、行业协会,媒介主管/经理,1-3年,大专,北京·大兴,北京·大兴,北京,大兴,未知,学校/下级学院,1000-9999人,学校/学历教育
广告.csv,星辰领域文化传媒吉林有限公司,豆包Ai品牌植入广告招商，月薪1W+五险,7000-14000元,7000.0,14000.0,10500.0,电梯广告、互联网广告、新媒体广告、企业客户、电话销售,电梯广告,经验不限,大专,长春·南关·净月,长春·南关·净月,长春,南关,净月,民营,100-299人,广告/营销
广告.csv,西安荔枝科技有限公司,网盟广告投放,8000-15000元,8000.0,15000.0,11500.0,数据分析、广告投放、英语口语,数据分析,经验不限,本科,西安·雁塔·漳浒寨,西安·雁塔·漳浒寨,西安,雁塔,漳浒寨,民营,20-99人,互联网
广告.csv,郑州堃垚企业管理咨询有限公司,信息流广告投放,6000-11000元,6000.0,11000.0,8500.0,抖音、广点通、巨量引擎,抖音,经验不限,大专,郑州·金水·杜岭,郑州·金水·杜岭,郑州,金水,杜岭,民营,500-999人,回收/维修
广告.csv,支付宝(杭州)数字服务技术有限公司,广告投手-数字天蚂,9000-18000元·14薪,10500.0,21000.0,15750.0,未知,未知,经验不限,本科,杭州·西湖·翠苑,杭州·西湖·翠苑,杭州,西湖,翠苑,民营,10000人以上,互联网
广告.csv,安徽三文商贸有限公司,广告制作,1.5-1.6万,15000.0,16000.0,15500.0,未知,未知,经验不限,大专,宿州,宿州,宿州,未知,未知,20人以下,工程施工,未知
广告.csv,河南品效互动网络科技有限公司,短视频/信息流广告编导（爆款内容创作者）（底薪6-8K+绩效）,8000-16000元,8000.0,16000.0,12000.0,短视频、直播媒体、直播、广告类、美妆类、本地生活服务、信息流广告编导、短视频编导、抖音编导,短视频,1-3年,大专,郑州·中原·石佛,郑州·中原·石佛,郑州,中原,石佛,民营,20-99人,计算机软件
广告.csv,云领天下,广告策略运营,1-1.5万,10000.0,15000.0,12500.0,业务数据分析、业务模式/运营策略优化、数据分析/商业分析经验、统计/数学相关专业,业务数据分析,经验不限,本科,深圳·南山·粤海,深圳·南山·粤海,深圳,南山,粤海,民营,300-499人,计算机软件
广告.csv,字节跳动,技术产品实习生（AI基础与应用方向）-中国交易与广告,7000-9000元,7000.0,9000.0,8000.0,未知,未知,经验不限,本科,杭州,杭州,杭州,未知,未知,民营,10000人以上,互联网
广告.csv,外企德科,互联网|广告审核/规则运营+周末双休,9000-11000元,9000.0,11000.0,10000.0,网络广告、新媒体广告、规则运营、广告审理,网络广告,经验不限,大专,杭州·西湖·转塘,杭州·西湖·转塘,杭州,西湖,转塘,合资,10000人以上,人力资源服务
广告.csv,广西七驰传媒有限公司,广告投放可无经验,4000-8000元,4000.0,8000.0,6000.0,未知,未知,1-3年,本科,南宁·青秀·南湖,南宁·青秀·南湖,南宁,青秀,南湖,100-299人,广告/营销,未知
广告.csv,吉林省晟泽泰人力资源有限公司,豆包Ai品牌植入广告销售，双休，节假日休息，月薪1W+五险.,8000-16000元,8000.0,16000.0,12000.0,互联网广告、电梯广告、搜索引擎广告、企业客户、全领域客户都可以、电话销售、网络销售、面销/陌拜,互联网广告,经验不限,学历不限,长春·绿园·正阳,长春·绿园·正阳,长春,绿园,正阳,民营,1000-9999人,人力资源服务
广告.csv,舜风传媒集团股份有限公司,广告pm,1-1.5万,10000.0,15000.0,12500.0,新媒体广告,新媒体广告,经验不限,本科,杭州·滨江·长河,杭州·滨江·长河,杭州,滨江,长河,民营,500-999人,广告/营销
广告.csv,杭州必立其信息技术有限公司,FB广告投放,1.1-2.2万,11000.0,22000.0,16500.0,未知,未知,经验不限,本科,杭州·西湖·蒋村,杭州·西湖·蒋村,杭州,西湖,蒋村,合资,100-299人,电子商务
广告.csv,引力传媒股份有限公司,AE广告客户执行,5000-10000元·13薪,5416.67,10833.33,8125.0,AE、新媒体广告、社交营销、KOC、KOL,AE,1年以下,本科,长沙·芙蓉·五里牌,长沙·芙蓉·五里牌,长沙,芙蓉,五里牌,上市公司,500-999人,广告/营销
广告.csv,西安丹骏数字科技有限公司,广告投放（信息流）,6000-10000元,6000.0,10000.0,8000.0,跨境电商、FACEBOOK投放、TIKTOK投放、国内信息流投放、谷歌投放、电商全类产品投放,跨境电商,1年以下,大专,西安·雁塔·丈八沟,西安·雁塔·丈八沟,西安,雁塔,丈八沟,上市公司,100-299人,电子商务
广告.csv,软通动力信息技术(集团)股份有限公司,广告产品运营-双休五险一金-百度外包,8000-9000元,8000.0,9000.0,8500.0,头条系、1,头条系,1-3年,大专,北京·海淀·马连洼,北京·海淀·马连洼,北京,海淀,马连洼,上市公司,10000人以上,互联网
广告.csv,河南广新广告有限公司,广告销售,9000-15000元,9000.0,15000.0,12000.0,互联网广告、电梯广告、户外媒体广告,互联网广告,经验不限,大专,郑州·管城·西大街,郑州·管城·西大街,郑州,管城,西大街,民营,100-299人,广告/营销
广告.csv,上海喜盈门建材有限公司,信息流广告优化师,8000-15000元·14薪,9333.33,17500.0,13416.67,小红书、快手、抖音,小红书,1-3年,大专,上海·徐汇·徐家汇,上海·徐汇·徐家汇,上海,徐汇,徐家汇,民营,1000-9999人,房地产开发
广告.csv,通广传媒(烟台)有限公司,广告销售经理,8000-12000元,8000.0,12000.0,10000.0,户外媒体广告、地铁广告、KA大客户、企业客户、政府客户、面销/陌拜、会议/会展销售,户外媒体广告,经验不限,大专,烟台·莱山·初家,烟台·莱山·初家,烟台,莱山,初家,股份制企业,300-499人,广告/营销
广告.csv,非羽网络,阿里广告优化师（单双休+住宿）,6000-10000元,6000.0,10000.0,8000.0,阿里系、淘宝、百度系,阿里系,经验不限,本科,合肥·蜀山·新产业园,合肥·蜀山·新产业园,合肥,蜀山,新产业园,股份制企业,500-999人,互联网
