数据来源文件,公司名称,岗位名称,原始薪资,最低薪资元每月,最高薪资元每月,平均薪资元每月,关键词,标签,经验要求,学历要求,原始工作地点,标准工作地点,城市,区县,商圈乡镇,公司性质,公司规模,公司行业
推广投放.csv,合肥市瑶海区启冉鑫家用电器维修经营部,网络推广,75-150元/时,13200.0,26400.0,19800.0,未知,未知,经验不限,学历不限,合肥·瑶海·方庙,合肥·瑶海·方庙,合肥,瑶海,方庙,其它,20-99人,互联网
推广投放.csv,苏州木兰一美企业管理服务有限公司,推广专员,1-1.8万,10000.0,18000.0,14000.0,甲方公司、新媒体推广经验、线下、线上、平台类产品,甲方公司,经验不限,学历不限,苏州·虎丘·枫桥,苏州·虎丘·枫桥,苏州,虎丘,枫桥,民营,1000-9999人,租赁服务
推广投放.csv,外企德科,抖音团购销售+市场推广+六险一金（字节正编）10k+,8000-15000元,8000.0,15000.0,11500.0,面销/陌拜、地推销售、企业客户、本地生活商家、团购到店休闲娱乐,面销/陌拜,经验不限,大专,长沙·岳麓·咸嘉湖,长沙·岳麓·咸嘉湖,长沙,岳麓,咸嘉湖,合资,10000人以上,人力资源服务
推广投放.csv,华润雪花,品牌推广（景芝白酒）,8000-10000元·13薪,8666.67,10833.33,9750.0,抖音、白酒、啤酒、小红书、视频号,抖音,1-3年,本科,济南·历下·姚家,济南·历下·姚家,济南,历下,姚家,国企,10000人以上,快速消费品
推广投放.csv,杭州五点半人力资源开发有限公司,O2O推广1W+,1.2-2万,12000.0,20000.0,16000.0,线下、C端客户,线下,经验不限,学历不限,宁波·海曙·段塘,宁波·海曙·段塘,宁波,海曙,段塘,民营,100-299人,人力资源服务
推广投放.csv,浙江恒逸集团有限公司,线上渠道投放运营,9000-16000元,9000.0,16000.0,12500.0,媒介专员、媒介主管/经理、网络媒体,媒介专员,经验不限,本科,杭州·萧山·宁围,杭州·萧山·宁围,杭州,萧山,宁围,民营,10000人以上,石油/石化
推广投放.csv,北京琴风雅轩文化传播有限公司,SEO/网站优化推广/搜索引擎优化,8000-16000元,8000.0,16000.0,12000.0,SEO,SEO,经验不限,学历不限,北京·朝阳,北京·朝阳,北京,朝阳,未知,民营,20-99人,广播/影视
推广投放.csv,玩球数据科技(武汉)有限公司,信息流投放师,8000-16000元,8000.0,16000.0,12000.0,未知,未知,3-5年,学历不限,武汉·洪山·关山,武汉·洪山·关山,武汉,洪山,关山,民营,100-299人,体育
推广投放.csv,郑州翎驰科技有限公司,TikTok投手 / 广告投放专员,8000-15000元,8000.0,15000.0,11500.0,媒介主管/经理、网络媒体、网盟渠道,媒介主管/经理,经验不限,大专,郑州·中原·中原西路,郑州·中原·中原西路,郑州,中原,中原西路,民营,500-999人,互联网
推广投放.csv,成都歪马科技有限公司,app推广专员-高提成就近分配可兼职,9000-16000元,9000.0,16000.0,12500.0,未知,未知,经验不限,学历不限,青岛·市北·即墨路,青岛·市北·即墨路,青岛,市北,即墨路,股份制企业,1000-9999人,电子商务
推广投放.csv,南京四季物语生物科技有限公司,小红书媒介种草/投放,8000-13000元·13薪,8666.67,14083.33,11375.0,媒介合作、媒介投放、抖音、小红书,媒介合作,1-3年,本科,南京·玄武·玄武湖,南京·玄武·玄武湖,南京,玄武,玄武湖,民营,500-999人,电子商务
推广投放.csv,郑州市二七区鸣鑫互联网工作室(个体工商户),抖音网络游戏推广,8000-16000元·13薪,8666.67,17333.33,13000.0,页游、端游、手游,页游,经验不限,学历不限,郑州·二七区·侯寨,郑州·二七区·侯寨,郑州,二七区,侯寨,民营,20人以下,游戏
推广投放.csv,深圳市海欣择宇科技有限公司,海外kol推广,1-2万,10000.0,20000.0,15000.0,未知,未知,经验不限,本科,深圳·龙华·龙华,深圳·龙华·龙华,深圳,龙华,龙华,民营,20-99人,互联网
推广投放.csv,珍爱网,广告投放优化师,1.5-2.5万,15000.0,25000.0,20000.0,抖音、今日头条、小红书、微信公众号、腾讯新闻、腾讯系、知乎、快手、微信朋友圈、头条系,抖音,1-3年,大专,深圳·南山·桃源,深圳·南山·桃源,深圳,南山,桃源,合资,1000-9999人,互联网
