数据来源文件,公司名称,岗位名称,原始薪资,最低薪资元每月,最高薪资元每月,平均薪资元每月,关键词,标签,经验要求,学历要求,原始工作地点,标准工作地点,城市,区县,商圈乡镇,公司性质,公司规模,公司行业
政府事务.csv,柳工,政府事务专员,6000-10000元·13薪,6500.0,10833.33,8666.67,政企合作、政府事务、机械、企业管理、公共关系专业、市场营销专业,政企合作,经验不限,本科,柳州·柳北区·石碑坪镇,柳州·柳北区·石碑坪镇,柳州,柳北区,石碑坪镇,国企,1000-9999人,金属制品业
政府事务.csv,大同数据科技职业学院有限责任公司,政府事务经理,7000-10000元,7000.0,10000.0,8500.0,政府拓展、政策研究、政企合作,政府拓展,3-5年,本科,大同·云州区·倍加造镇,大同·云州区·倍加造镇,大同,云州区,倍加造镇,上市公司,100-299人,学校/学历教育
政府事务.csv,茵梦达传动技术(上海)有限责任公司北京分公司,SIED HR Intern 人力资源部实习生,120-160元/天,2640.0,3520.0,3080.0,组织发展、招聘,组织发展,经验不限,本科,上海·浦东·高东,上海·浦东·高东,上海,浦东,高东,外商独资,1000-9999人,电气机械/电力设备
政府事务.csv,云账户技术(天津)有限公司,项目管理（政府事务）,8000-12000元·16薪,10666.67,16000.0,13333.33,政府拓展、政策研究、政企合作,政府拓展,1-3年,本科,天津·西青·西营门,天津·西青·西营门,天津,西青,西营门,民营,500-999人,互联网
政府事务.csv,深圳市乐凡信息科技有限公司,政府项目专员,8000-9000元,8000.0,9000.0,8500.0,政企合作、数据统计,政企合作,1-3年,本科,深圳·南山·西丽,深圳·南山·西丽,深圳,南山,西丽,民营,20-99人,网络/信息安全
政府事务.csv,内蒙古恒欧生物科技有限公司,公费出差专员北上广8K报销差旅费,4000-8000元,4000.0,8000.0,6000.0,未知,未知,经验不限,中专/中技,呼和浩特·回民区·中山西路,呼和浩特·回民区·中山西路,呼和浩特,回民区,中山西路,上市公司,300-499人,零售/批发
政府事务.csv,禾元生物,行政管理员(J10179),5000-6000元·13薪,5416.67,6500.0,5958.33,内勤管理、接待事务、后勤管理,内勤管理,1-3年,本科,伊犁·察布查尔锡伯自治县·坎乡,伊犁·察布查尔锡伯自治县·坎乡,伊犁,察布查尔锡伯自治县,坎乡,上市公司,300-499人,医药制造
政府事务.csv,深圳市法本信息技术股份有限公司,案件情报分析（五险一金，双休，包三餐）,1.5-2.4万,15000.0,24000.0,19500.0,SQL、Python、案件、黑产,SQL,经验不限,本科,北京·朝阳·亚运村,北京·朝阳·亚运村,北京,朝阳,亚运村,上市公司,1000-9999人,计算机软件
政府事务.csv,烟台落基伟业通讯科技有限公司,政府事务人员,4000-6000元,4000.0,6000.0,5000.0,政府拓展、政企合作、政策研究,政府拓展,经验不限,本科,烟台·莱山·滨海路,烟台·莱山·滨海路,烟台,莱山,滨海路,民营,100-299人,互联网
政府事务.csv,京东集团,政府事务专家,1.3-2.5万·16薪,17333.33,33333.33,25333.33,政府拓展、政企合作、收入增长、危机处理,政府拓展,5-10年,本科,合肥·包河·大圩,合肥·包河·大圩,合肥,包河,大圩,合资,10000人以上,互联网
政府事务.csv,河北力马燃气有限公司,政府事务助理,7000-14000元,7000.0,14000.0,10500.0,未知,未知,经验不限,高中,石家庄·赞皇·南邢郭,石家庄·赞皇·南邢郭,石家庄,赞皇,南邢郭,民营,500-999人,化工
政府事务.csv,成都市晶林科技有限公司,政府与公共事务专员,6000-8000元,6000.0,8000.0,7000.0,商务、商务接待、应酬,商务,经验不限,本科,成都·武侯·桂溪,成都·武侯·桂溪,成都,武侯,桂溪,民营,20-99人,电子/半导体/集成电路
