数据来源文件,公司名称,岗位名称,原始薪资,最低薪资元每月,最高薪资元每月,平均薪资元每月,关键词,标签,经验要求,学历要求,原始工作地点,标准工作地点,城市,区县,商圈乡镇,公司性质,公司规模,公司行业
线下运营.csv,上海太屋网络科技有限公司,新媒体运营岗底薪8000+提供住宿,8000-16000元,8000.0,16000.0,12000.0,用户运营、内容运营、门店运营、提供住宿、11天带薪年假,用户运营,经验不限,本科,上海·徐汇·虹梅路,上海·徐汇·虹梅路,上海,徐汇,虹梅路,民营,1000-9999人,房地产开发
线下运营.csv,拼多多,线下拓展运营专员,7000-9000元,7000.0,9000.0,8000.0,未知,未知,经验不限,学历不限,青岛·即墨·通济,青岛·即墨·通济,青岛,即墨,通济,民营,1000-9999人,互联网
线下运营.csv,天虹股份,运营经理（深圳）,9000-12000元,9000.0,12000.0,10500.0,门店运营,门店运营,经验不限,本科,东莞·莞城街道,东莞·莞城街道,东莞,莞城街道,未知,国企,10000人以上,零售/批发
线下运营.csv,河南伊撒加网络科技有限公司,线下运营助理（底薪6600+住宿）,6000-8000元,6000.0,8000.0,7000.0,商家运营、产品运营,商家运营,经验不限,大专,郑州·管城·北下街,郑州·管城·北下街,郑州,管城,北下街,民营,100-299人,咨询服务
线下运营.csv,安阳安巢公寓管理有限公司,民宿收房专员,4000-8000元,4000.0,8000.0,6000.0,民宿开发、民宿管家、民宿销售、线上运营、线下运营,民宿开发,经验不限,学历不限,安阳·文峰区·中华路街道,安阳·文峰区·中华路街道,安阳,文峰区,中华路街道,合资,20-99人,房地产中介
线下运营.csv,武汉超级星房地产经纪有限公司,民宿管家,5000-10000元,5000.0,10000.0,7500.0,民宿管家、民宿销售、线下运营、线上运营,民宿管家,经验不限,学历不限,武汉·汉阳,武汉·汉阳,武汉,汉阳,未知,民营,1000-9999人,房地产中介
线下运营.csv,郑州餐达运营管理有限公司,外卖运营专员,6000-8000元,6000.0,8000.0,7000.0,商家运营、用户运营、门店运营,商家运营,经验不限,大专,郑州·管城·金岱,郑州·管城·金岱,郑州,管城,金岱,民营,20-99人,企业服务
线下运营.csv,东营蓝飙网络科技有限公司,宁津淘宝闪购/饿了么C端运营专员,4000-8000元,4000.0,8000.0,6000.0,销售运营、产品运营、门店运营、消费品,销售运营,经验不限,大专,德州·宁津县·津城街道,德州·宁津县·津城街道,德州,宁津县,津城街道,其它,100-299人,食品/饮料
线下运营.csv,武汉市通俊科技有限公司,线下运营助理+免费住宿,5000-10000元,5000.0,10000.0,7500.0,产品运营、销售运营,产品运营,经验不限,大专,武汉·武昌,武汉·武昌,武汉,武昌,未知,民营,20-99人,零售/批发
线下运营.csv,洛阳亚臻信息科技有限公司,商家运营/接受小白+提供住宿,5000-10000元,5000.0,10000.0,7500.0,学习能力强、线下运营,学习能力强,经验不限,学历不限,洛阳·西工·唐宫路,洛阳·西工·唐宫路,洛阳,西工,唐宫路,其它,20-99人,新零售
