数据来源文件,公司名称,岗位名称,原始薪资,最低薪资元每月,最高薪资元每月,平均薪资元每月,关键词,标签,经验要求,学历要求,原始工作地点,标准工作地点,城市,区县,商圈乡镇,公司性质,公司规模,公司行业
调研分析.csv,仙琚制药,调研助理（实习）,3000-4000元,3000.0,4000.0,3500.0,市场信息收集、竞品分析、流行病学研究、诊断治疗、文献查阅,市场信息收集,经验不限,本科,杭州·上城·四季青,杭州·上城·四季青,杭州,上城,四季青,上市公司,1000-9999人,医药制造
调研分析.csv,山东汇景市场研究咨询有限公司,商河神秘客市场调研,100-130元/天,2200.0,2860.0,2530.0,用户调研,用户调研,经验不限,中专/中技,济南·商河·许商,济南·商河·许商,济南,商河,许商,民营,20-99人,咨询服务
调研分析.csv,浙江恒逸集团有限公司,市场分析策划专员（经理）,1.2-2.4万,12000.0,24000.0,18000.0,行业调研、商业调研、企业调研、市场、销售、定价策略,行业调研,经验不限,本科,杭州·萧山·宁围,杭州·萧山·宁围,杭州,萧山,宁围,民营,10000人以上,石油/石化
调研分析.csv,四川剑南春(集团)有限责任公司,市场调研岗 (MJ001179),6000-10000元,6000.0,10000.0,8000.0,竞品调研、行业调研,竞品调研,经验不限,本科,成都·青羊·金沙,成都·青羊·金沙,成都,青羊,金沙,其它,1000-9999人,快速消费品
调研分析.csv,南京千京粒科技有限公司,市场调研员(包住+晋升+接受小白),7000-9000元,7000.0,9000.0,8000.0,用户调研、产品调研、销售性质,用户调研,经验不限,大专,南京·鼓楼·幕府山,南京·鼓楼·幕府山,南京,鼓楼,幕府山,民营,100-299人,企业服务
调研分析.csv,南京博涯信息技术有限公司,行业研究员,8000-16000元·13薪,8666.67,17333.33,13000.0,股票市场、债券市场、期货市场,股票市场,经验不限,本科,南京·江宁·麒麟,南京·江宁·麒麟,南京,江宁,麒麟,民营,20-99人,人工智能
调研分析.csv,郑州慕凡科技有限公司,海外问卷调研专员,7000-14000元,7000.0,14000.0,10500.0,企业调研、产品调研、商业调研,企业调研,经验不限,学历不限,郑州·金水·祭城路,郑州·金水·祭城路,郑州,金水,祭城路,民营,20-99人,企业服务
调研分析.csv,上海有色网信息科技股份有限公司,市场调研分析师,5000-6000元·13薪,5416.67,6500.0,5958.33,行业调研、企业调研,行业调研,经验不限,本科,烟台·芝罘·通伸,烟台·芝罘·通伸,烟台,芝罘,通伸,民营,300-499人,互联网
调研分析.csv,郑州文承教育科技有限公司,问卷调研合伙人,3000-4000元,3000.0,4000.0,3500.0,有基本的逻辑能力、用户调研、行业调研、竞品调研,有基本的逻辑能力,经验不限,大专,郑州·中原·西流湖,郑州·中原·西流湖,郑州,中原,西流湖,股份制企业,20-99人,咨询服务
调研分析.csv,华润雪花,业务管理研究,1.5-2万·13薪,16250.0,21666.67,18958.33,市场分析、方案推广、效果评估、沟通能力、增量业务,市场分析,经验不限,本科,深圳·宝安·新安,深圳·宝安·新安,深圳,宝安,新安,国企,10000人以上,快速消费品
调研分析.csv,沈阳圣福时创资管科技有限公司,分析师助理,4000-8000元,4000.0,8000.0,6000.0,未知,未知,经验不限,大专,沈阳·浑南·五三,沈阳·浑南·五三,沈阳,浑南,五三,其它,20-99人,证券/期货
调研分析.csv,寿光亿调研科技服务有限公司,问卷调研合伙人,1-2万,10000.0,20000.0,15000.0,行业研究、兼职、市场研究,行业研究,经验不限,学历不限,潍坊·寿光·圣城,潍坊·寿光·圣城,潍坊,寿光,圣城,其它,20人以下,电子商务
调研分析.csv,山西联知信息科技有限公司,市场分析师--有色金属方向,8000-16000元,8000.0,16000.0,12000.0,产品调研、竞品调研、商业调研,产品调研,经验不限,大专,太原·小店·平阳路,太原·小店·平阳路,太原,小店,平阳路,股份制企业,20-99人,互联网
调研分析.csv,江苏华招网信息技术有限公司,周末双休市场调研与分析专员,4000-5000元,4000.0,5000.0,4500.0,行业分析、数据处理,行业分析,经验不限,本科,南京·鼓楼·江东,南京·鼓楼·江东,南京,鼓楼,江东,国企,100-299人,咨询服务
调研分析.csv,贵州雨睿文化科技有限公司,坐班双休市场分析岗,4000-6000元,4000.0,6000.0,5000.0,周末双休、早九晚五,周末双休,1年以下,大专,贵阳·观山湖·长岭,贵阳·观山湖·长岭,贵阳,观山湖,长岭,100-299人,文化艺术/娱乐,未知
调研分析.csv,河北御芝林生物科技有限公司,市场调研专员,5000-7000元,5000.0,7000.0,6000.0,竞品调研、行业调研、产品调研,竞品调研,经验不限,本科,石家庄·裕华·长江,石家庄·裕华·长江,石家庄,裕华,长江,民营,1000-9999人,医药制造
调研分析.csv,立信(重庆)数据科技股份有限公司,数据分析员/研究员（银川）,4000-7000元,4000.0,7000.0,5500.0,市场调研、数据分析,市场调研,1-3年,本科,银川·兴庆区·解放西街街道,银川·兴庆区·解放西街街道,银川,兴庆区,解放西街街道,民营,100-299人,咨询服务
调研分析.csv,湖北慢藏家茶文化传播有限公司,市场问卷调研员,150-200元/天,3300.0,4400.0,3850.0,商业调研、产品调研,商业调研,经验不限,大专,宜昌·伍家岗区·伍家岗街道,宜昌·伍家岗区·伍家岗街道,宜昌,伍家岗区,伍家岗街道,20-99人,培训/辅导服务,未知
调研分析.csv,武汉鑫亚泰科技有限公司,市场调研/分析人员,7000-12000元,7000.0,12000.0,9500.0,行业调研、竞品调研、企业调研,行业调研,1-3年,大专,武汉·东西湖·吴家山,武汉·东西湖·吴家山,武汉,东西湖,吴家山,民营,100-299人,印刷/包装/造纸
调研分析.csv,福州台江区泓研咨询服务有限公司,调查分析师,6000-12000元,6000.0,12000.0,9000.0,未知,未知,经验不限,本科,上海·长宁·周家桥,上海·长宁·周家桥,上海,长宁,周家桥,20-99人,咨询服务,未知
