标题,信息,薪水,关键词,标签,其它,其它1,其它2,关键词3
"
          三棵树涂料股份有限公司
        ",产品经理,"
          1.3-2万
        ",,,"
          经验不限
        ","
          本科
        ",上海·青浦·徐泾,"
          上市公司
         
          10000人以上
         
          建材
        "
"
          河北汇友网络科技有限公司
        ",产品经理,"
          5000-10000元
        ","技术沟通
方案制定
安全产品
硬件产品
产品培训
标书准备",技术沟通,"
          经验不限
        ","
          大专
        ",邯郸·丛台区·兼庄乡,"
          民营
         
          20-99人
         
          IT服务
        "
"
          福建省力诚食品有限公司
        ",产品经理,"
          1-1.5万
        ",,,"
          经验不限
        ","
          本科
        ",泉州·晋江市·灵源街道,"
          民营
         
          1000-9999人
         
          快速消费品
        "
"
          陕西万聚天合电子科技有限公司
        ",产品经理,"
          8000-14000元
        ",电商产品,电商产品,"
          1-3年
        ","
          本科
        ",西安·雁塔·小寨路,"
          民营
         
          100-299人
         
          电子商务
        "
"
          北京市海讯达通信有限责任公司
        ",产品经理,"
          8000-12000元·14薪
        ",,,"
          3-5年
        ","
          本科
        ",北京·东城·龙潭,"
          国企
         
          100-299人
         
          运营商/增值服务
        "
"
          山西自定义科技有限公司
        ",产品经理,"
          4000-6000元
        ","硬件产品
墨刀",硬件产品,"
          1-3年
        ","
          大专
        ",长治,"
          民营
         
          100-299人
         
          计算机软件
        "
"
          江苏叁拾叁智慧农业有限公司
        ",产品经理,"
          8000-15000元
        ","ERP系统
财务系统
OA系统",ERP系统,"
          3-5年
        ","
          学历不限
        ",南京·栖霞·马群,"
          民营
         
          100-299人
         
          互联网
        "
"
          杨掌柜食品科技(河南)有限公司
        ",产品经理,"
          8000-10000元
        ",,,"
          经验不限
        ","
          大专
        ",郑州·管城·圃田,"
          民营
         
          1000-9999人
         
          食品/饮料
        "
"
          BCC商霖华通
        ",产品经理,"
          2-2.1万
        ","数据产品
策略产品",数据产品,"
          经验不限
        ","
          学历不限
        ",上海·静安·南京西路,"
          外商独资
         
          100-299人
         
          咨询服务
        "
"
          杭州云戟信息咨询有限公司
        ",产品经理,"
          1.8-2.5万
        ",,,"
          经验不限
        ","
          学历不限
        ",杭州·上城·四季青,"
          其它
         
          100-299人
         
          投资/融资
        "
