标题,信息,薪水,关键词,标签,其它,其它1,其它2,关键词3
"
          广州一滴水企业管理服务有限公司
        ",科长人力资源储备月休息八,"
          1.2-1.3万
        ","组织发展
人事培训",组织发展,"
          经验不限
        ","
          中专/中技
        ",深圳·龙华·莲花," 
          100-299人
         
          人力资源服务
        "
"
          北京怡景人力资源服务有限公司
        ",经理主管人力资源综合,"
          9000-11000元
        ","人事培训
薪酬福利",人事培训,"
          经验不限
        ","
          高中
        ",天津·河西·友谊路," 
          100-299人
         
          人力资源服务
        "
"
          长沙帆车酒店管理有限公司
        ",人力资源专员/助理,"
          4000-8000元
        ","招聘
绩效管理
人事培训
人力资源管理员",招聘,"
          经验不限
        ","
          学历不限
        ",长沙·砂子塘," 
          100-299人
         
          酒店/民宿
        "
"
          重庆智数上行科技有限公司
        ",部门人力资源经理,"
          9000-11000元
        ","企业文化
组织发展",企业文化,"
          经验不限
        ","
          高中
        ",武汉·青山," 
          100-299人
         
          人力资源服务
        "
"
          重庆贝玖思科技有限公司
        ",人力资源经理/主管,"
          3000-6000元
        ",招聘,招聘,"
          经验不限
        ","
          大专
        ",重庆,"
          其它
         
          100-299人
         
          新零售
        "
"
          杭州星汉人力资源有限公司
        ",主管经理人力资源部门,"
          9000-10000元·13薪
        ","人事培训
招聘",人事培训,"
          经验不限
        ","
          中专/中技
        ",合肥·包河," 
          100-299人
         
          人力资源服务
        "
"
          牧原股份
        ",人力资源管理师,"
          8000-12000元
        ","招聘
HRBP
员工关系",招聘,"
          1-3年
        ","
          本科
        ",通辽·奈曼旗·大沁他拉镇,"
          上市公司
         
          10000人以上
         
          农/林/牧/渔
        "
"
          北京京咨咨询有限公司
        ",人力资源经理（集团总部招聘）,"
          1.5-2万
        ","招聘
绩效管理
员工关系",招聘,"
          5-10年
        ","
          本科
        ",北京·海淀·上地,"
          民营
         
          20-99人
         
          电力/水利/热力/燃气
        "
"
          云南芸岭鲜生农业发展有限公司
        ",hrbp/人力资源经理,"
          1.2-1.6万
        ","招聘
员工关系
绩效管理",招聘,"
          5-10年
        ","
          大专
        ",上海·奉贤·四团,"
          民营
         
          1000-9999人
         
          农/林/牧/渔
        "
"
          成都市成华区新学八里教育培训学校有限责任公司
        ",人力资源中心-招聘专员-双休-教育大平台-稳定,"
          3000-6000元
        ","销售岗位招聘
社会招聘",销售岗位招聘,"
          1-3年
        ","
          大专
        ",成都·金牛·荷花池,"
          民营
         
          1000-9999人
         
          学校/学历教育
        "
"
          锦江电子
        ",人力资源实习生,"
          80-100元/天
        ","招聘
员工关系
人事培训",招聘,"
          经验不限
        ","
          本科
        ",成都·武侯·簇锦,"
          民营
         
          300-499人
         
          医疗设备/器械
        "
"
          企运(天津)企业管理服务有限公司
        ",人力资源助理,"
          4000-7000元
        ","绩效管理
薪酬福利
人事制度制定
人力成本核算
劳动法律法规",绩效管理,"
          经验不限
        ","
          本科
        ",天津·和平·小白楼,"
          民营
         
          500-999人
         
          人力资源服务
        "
"
          泰康人寿保险有限责任公司大连分公司
        ",人力资源专员,"
          6000-7000元
        ","招聘
员工关系
企业文化",招聘,"
          经验不限
        ","
          本科
        ",大连·中山·海军广场,"
          民营
         
          500-999人
         
          保险
        "
"
          杭州宇米教育科技有限公司
        ",人力资源主管,"
          1-1.2万
        ","薪酬福利
招聘
人才测评
数据分析
市场趋势分析",薪酬福利,"
          1-3年
        ","
          本科
        ",杭州·上城·彭埠," 
          20-99人
         
          IT服务
        "
"
          苏州春之藤环保科技有限公司
        ",人力资源经理/主管,"
          3000-4000元·13薪
        ","绩效管理
人力资源管理员",绩效管理,"
          1-3年
        ","
          大专
        ",淮安·太和街道," 
          20人以下
         
          环保
        "
"
          空间无限人力资源管理顾问有限公司
        ",双休人力资源销售专员,"
          6000-8000元·13薪
        ",,,"
          经验不限
        ","
          大专
        ",深圳·福田·福田街道,"
          其它
         
          100-299人
         
          餐饮服务
        "
"
          四川良帮网络科技有限公司
        ",武侯区人力资源销售经理 7000-15000/月单双休社保,"
          7000-14000元
        ",,,"
          1-3年
        ","
          大专
        ",成都·武侯·簇锦,"
          民营
         
          20人以下
         
          人力资源服务
        "
"
          速聘无忧(山东)网络科技有限公司
        ",双休人力资源助理+奖金,"
          6000-10000元
        ","招聘
员工关系
人事培训
沟通协调
团队合作
细心负责",招聘,"
          经验不限
        ","
          大专
        ",青岛·市南·湛山," 
          20-99人
         
          企业服务
        "
"
          合肥云培教育科技有限公司
        ",市场开拓总监（人力资源业务）,"
          1.5-3万
        ","市场营销
市场推广
政府资源
人事派遣
人事外包",市场营销,"
          5-10年
        ","
          大专
        ",合肥·肥西·桃花,"
          民营
         
          100-299人
         
          培训/辅导服务
        "
"
          时代一汽动力电池有限公司
        ",人力资源助理,"
          7000-9000元
        ","人力资源管理/汉语言文学专业
文笔功底好，有多媒体相关经验",人力资源管理/汉语言文学专业,"
          经验不限
        ","
          本科
        ",宁德·霞浦县·松山街道,"
          合资
         
          1000-9999人
         
          新能源
        "
"
          华创证券
        ",华创证券深圳分公司人力资源专员,"
          8000-12000元·15薪
        ",,,"
          1-3年
        ","
          本科
        ",深圳·福田·香蜜湖,"
          其它
         
          1000-9999人
         
          证券/期货
        "
"
          辽宁杰成人力资源有限公司
        ",人力资源行业出纳岗位（可接短期出差）,"
          4000-5000元
        ","会计从业资格证书
会计初级职称
会计中级职称
周末双休
五险一金",会计从业资格证书,"
          1-3年
        ","
          大专
        ",沈阳·铁西·启工," 
          500-999人
         
          人力资源服务
        "
