标题,薪水,关键词,标签,其它,其它1,其它2,公司3,关键词4
网络推广,"
          75-150元/时
        ",,,"
          经验不限
        ","
          学历不限
        ",合肥·瑶海·方庙,"
          合肥市瑶海区启冉鑫家用电器维修经营部
        ","
          其它
         
          20-99人
         
          互联网
        "
推广专员,"
          1-1.8万
        ","甲方公司
新媒体推广经验
线下
线上
平台类产品",甲方公司,"
          经验不限
        ","
          学历不限
        ",苏州·虎丘·枫桥,"
          苏州木兰一美企业管理服务有限公司
        ","
          民营
         
          1000-9999人
         
          租赁服务
        "
抖音团购销售+市场推广+六险一金（字节正编）10k+,"
          8000-15000元
        ","面销/陌拜
地推销售
企业客户
本地生活商家
团购 到店 休闲娱乐",面销/陌拜,"
          经验不限
        ","
          大专
        ",长沙·岳麓·咸嘉湖,"
          外企德科
        ","
          合资
         
          10000人以上
         
          人力资源服务
        "
品牌推广（景芝白酒）,"
          8000-10000元·13薪
        ","抖音
白酒
啤酒
小红书
视频号",抖音,"
          1-3年
        ","
          本科
        ",济南·历下·姚家,"
          华润雪花
        ","
          国企
         
          10000人以上
         
          快速消费品
        "
O2O推广1W+,"
          1.2-2万
        ","线下
C端客户",线下,"
          经验不限
        ","
          学历不限
        ",宁波·海曙·段塘,"
          杭州五点半人力资源开发有限公司
        ","
          民营
         
          100-299人
         
          人力资源服务
        "
线上渠道投放运营,"
          9000-16000元
        ","媒介专员
媒介主管/经理
网络媒体",媒介专员,"
          经验不限
        ","
          本科
        ",杭州·萧山·宁围,"
          浙江恒逸集团有限公司
        ","
          民营
         
          10000人以上
         
          石油/石化
        "
SEO/网站优化推广/搜索引擎优化,"
          8000-16000元
        ",SEO,SEO,"
          经验不限
        ","
          学历不限
        ",北京·朝阳,"
          北京琴风雅轩文化传播有限公司
        ","
          民营
         
          20-99人
         
          广播/影视
        "
信息流投放师,"
          8000-16000元
        ",,,"
          3-5年
        ","
          学历不限
        ",武汉·洪山·关山,"
          玩球数据科技(武汉)有限公司
        ","
          民营
         
          100-299人
         
          体育
        "
TikTok投手 / 广告投放专员,"
          8000-15000元
        ","媒介主管/经理
网络媒体
网盟渠道",媒介主管/经理,"
          经验不限
        ","
          大专
        ",郑州·中原·中原西路,"
          郑州翎驰科技有限公司
        ","
          民营
         
          500-999人
         
          互联网
        "
app推广专员-高提成就近分配可兼职,"
          9000-16000元
        ",,,"
          经验不限
        ","
          学历不限
        ",青岛·市北·即墨路,"
          成都歪马科技有限公司
        ","
          股份制企业
         
          1000-9999人
         
          电子商务
        "
小红书媒介种草/投放,"
          8000-13000元·13薪
        ","媒介合作
媒介投放
抖音
小红书",媒介合作,"
          1-3年
        ","
          本科
        ",南京·玄武·玄武湖,"
          南京四季物语生物科技有限公司
        ","
          民营
         
          500-999人
         
          电子商务
        "
抖音网络游戏推广,"
          8000-16000元·13薪
        ","页游
端游
手游",页游,"
          经验不限
        ","
          学历不限
        ",郑州·二七区·侯寨,"
          郑州市二七区鸣鑫互联网工作室(个体工商户)
        ","
          民营
         
          20人以下
         
          游戏
        "
海外kol推广,"
          1-2万
        ",,,"
          经验不限
        ","
          本科
        ",深圳·龙华·龙华,"
          深圳市海欣择宇科技有限公司
        ","
          民营
         
          20-99人
         
          互联网
        "
广告投放优化师,"
          1.5-2.5万
        ","抖音
今日头条
小红书
微信公众号
腾讯新闻
腾讯系
知乎
快手
微信朋友圈
头条系",抖音,"
          1-3年
        ","
          大专
        ",深圳·南山·桃源,"
          珍爱网
        ","
          合资
         
          1000-9999人
         
          互联网
        "
微信小程序推广,"
          1-1.8万
        ","微信商城推广
小程序推广
社群推广
公众号推广
电商类",微信商城推广,"
          经验不限
        ","
          本科
        ",武汉·洪山·和平,"
          海口顺势智能网络科技有限公司
        ","
          民营
         
          20-99人
         
          在线生活服务（O2O）
        "
游戏广告投放专员,"
          1-2万
        ","媒介专员
娱乐类媒体
乙方经验
甲方经验",媒介专员,"
          1-3年
        ","
          本科
        ",杭州·上城·九堡,"
          连云港飞扬网络科技有限公司
        ","
          民营
         
          100-299人
         
          游戏
        "
医美市场推广（不限行业-兼职全职🉑选）,"
          1-2万
        ","个人IP打造
线上自媒体
线下实体
性格乐观豁达
语言沟通能力强
社交达人",个人IP打造,"
          经验不限
        ","
          大专
        ",北京·朝阳·三里屯,"
          北京健加壹佰传媒科技有限公司
        ","
          民营
         
          300-499人
         
          医美/健康服务
        "
