标题,信息,薪水,关键词,标签,其它,其它1,其它2,关键词3
"
          柳工
        ",政府事务专员,"
          6000-10000元·13薪
        ","政企合作
政府事务
机械、企业管理、公共关系专业
市场营销专业",政企合作,"
          经验不限
        ","
          本科
        ",柳州·柳北区·石碑坪镇,"
          国企
         
          1000-9999人
         
          金属制品业
        "
"
          大同数据科技职业学院有限责任公司
        ",政府事务经理,"
          7000-10000元
        ","政府拓展
政策研究
政企合作",政府拓展,"
          3-5年
        ","
          本科
        ",大同·云州区·倍加造镇,"
          上市公司
         
          100-299人
         
          学校/学历教育
        "
"
          茵梦达传动技术(上海)有限责任公司北京分公司
        ",SIED HR Intern 人力资源部实习生,"
          120-160元/天
        ","组织发展
招聘",组织发展,"
          经验不限
        ","
          本科
        ",上海·浦东·高东,"
          外商独资
         
          1000-9999人
         
          电气机械/电力设备
        "
"
          云账户技术(天津)有限公司
        ",项目管理（政府事务）,"
          8000-12000元·16薪
        ","政府拓展
政策研究
政企合作",政府拓展,"
          1-3年
        ","
          本科
        ",天津·西青·西营门,"
          民营
         
          500-999人
         
          互联网
        "
"
          深圳市乐凡信息科技有限公司
        ",政府项目专员,"
          8000-9000元
        ","政企合作
数据统计",政企合作,"
          1-3年
        ","
          本科
        ",深圳·南山·西丽,"
          民营
         
          20-99人
         
          网络/信息安全
        "
"
          内蒙古恒欧生物科技有限公司
        ",公费出差专员北上广8K报销差旅费,"
          4000-8000元
        ",,,"
          经验不限
        ","
          中专/中技
        ",呼和浩特·回民区·中山西路,"
          上市公司
         
          300-499人
         
          零售/批发
        "
"
          禾元生物
        ",行政管理员(J10179),"
          5000-6000元·13薪
        ","内勤管理
接待事务
后勤管理",内勤管理,"
          1-3年
        ","
          本科
        ",伊犁·察布查尔锡伯自治县·坎乡,"
          上市公司
         
          300-499人
         
          医药制造
        "
"
          深圳市法本信息技术股份有限公司
        ",案件情报分析（五险一金，双休，包三餐）,"
          1.5-2.4万
        ","SQL
Python
案件
黑产",SQL,"
          经验不限
        ","
          本科
        ",北京·朝阳·亚运村,"
          上市公司
         
          1000-9999人
         
          计算机软件
        "
"
          烟台落基伟业通讯科技有限公司
        ",政府事务人员,"
          4000-6000元
        ","政府拓展
政企合作
政策研究",政府拓展,"
          经验不限
        ","
          本科
        ",烟台·莱山·滨海路,"
          民营
         
          100-299人
         
          互联网
        "
"
          京东集团
        ",政府事务专家,"
          1.3-2.5万·16薪
        ","政府拓展
政企合作
收入增长
危机处理",政府拓展,"
          5-10年
        ","
          本科
        ",合肥·包河·大圩,"
          合资
         
          10000人以上
         
          互联网
        "
"
          河北力马燃气有限公司
        ",政府事务助理,"
          7000-14000元
        ",,,"
          经验不限
        ","
          高中
        ",石家庄·赞皇·南邢郭,"
          民营
         
          500-999人
         
          化工
        "
"
          成都市晶林科技有限公司
        ",政府与公共事务专员,"
          6000-8000元
        ","商务
商务接待
应酬",商务,"
          经验不限
        ","
          本科
        ",成都·武侯·桂溪,"
          民营
         
          20-99人
         
          电子/半导体/集成电路
        "
"
          福建优嘉智选科技有限公司
        ",政府事务开发专员,"
          4000-8000元
        ","政府拓展
政企合作",政府拓展,"
          经验不限
        ","
          大专
        ",泉州·鲤城区·鲤中街道," 
          20-99人
         
          企业服务
        "
"
          河南摩膳食品有限公司
        ",政府事务经理,"
          8000-10000元
        ","政企合作
商务接待",政企合作,"
          5-10年
        ","
          本科
        ",焦作·武陟县·西陶镇,"
          民营
         
          300-499人
         
          农/林/牧/渔
        "
"
          国轩高科股份有限公司
        ",政府事务专员(J15199),"
          1-1.5万·13薪
        ",政策研究,政策研究,"
          经验不限
        ","
          硕士
        ",上海·嘉定·外冈,"
          合资
         
          10000人以上
         
          新能源
        "
"
          四川鲲鹏航宇低空智能科技有限公司
        ",政府事务对接专员,"
          8000-15000元
        ","政企合作
政府拓展",政企合作,"
          1-3年
        ","
          大专
        ",成都·温江·涌泉,"
          民营
         
          20-99人
         
          科学技术推广
        "
"
          陕西有彩文化传媒有限公司
        ",政府关系助理,"
          8000-16000元·14薪
        ",政企合作,政企合作,"
          经验不限
        ","
          大专
        ",西安·徐家湾," 
          20人以下
         
          广播/影视
        "
"
          福建大东海实业集团有限公司
        ",政府事务总监,"
          2-4万
        ","政府事务
政府关系",政府事务,"
          3-5年
        ","
          本科
        ",福州·长乐·松下,"
          民营
         
          10000人以上
         
          互联网
        "
"
          北京市农业投资有限公司
        ",政府事务联络员,"
          6000-12000元·13薪
        ",政企合作,政企合作,"
          经验不限
        ","
          本科
        ",北京·房山·拱辰,"
          国企
         
          300-499人
         
          投资/融资
        "
"
          东方明阳科技新能源有限公司
        ",行政专员,"
          5000-6000元·13薪
        ","接待事务
企业文化",接待事务,"
          经验不限
        ","
          本科
        ",东方·八所镇,"
          民营
         
          500-999人
         
          新能源
        "
