标题,信息,薪水,关键词,标签,其它,其它1,其它2,关键词3
"
          六盘水黔椒食品有限责任公司
        ",电商运营,"
          7000-14000元
        ","淘宝/天猫
京东
拼多多",淘宝/天猫,"
          1-3年
        ","
          学历不限
        ",贵阳·南明,"
          其它
         
          500-999人
         
          零售/批发
        "
"
          深圳市报业国际旅行社有限公司
        ",电商运营,"
          50-100元/时
        ",,,"
          经验不限
        ","
          大专
        ",韶关·武江区·西联镇,"
          民营
         
          20-99人
         
          旅游服务
        "
"
          长治悠米商贸有限责任公司
        ",电商运营,"
          4000-8000元
        ","TEMU
TikTok",TEMU,"
          经验不限
        ","
          学历不限
        ",长治·潞州区·常青街道," 
          20人以下
         
          贸易/进出口
        "
"
          贵州徐晟商贸有限公司
        ",电商运营,"
          5000-8000元
        ","淘宝/天猫
京东
拼多多",淘宝/天猫,"
          经验不限
        ","
          学历不限
        ",铜仁·碧江区·河西街道," 
          20人以下
         
          贸易/进出口
        "
"
          山东晟泉供应链管理有限公司
        ",电商运营,"
          4000-5000元
        ","拼多多
抖音小店
快手
店铺运营",拼多多,"
          1-3年
        ","
          学历不限
        ",济南·天桥·药山," 
          100-299人
         
          电子商务
        "
"
          莆田市涵江区煌贰塞百货店(个体工商户)
        ",电商运营,"
          8000-12000元
        ","微信小店
视频号",微信小店,"
          经验不限
        ","
          学历不限
        ",莆田·霞林街道," 
          20人以下
         
          互联网
        "
"
          碧中海(山东)水族用品有限公司
        ",电商运营,"
          5000-8000元
        ",淘宝/天猫,淘宝/天猫,"
          1-3年
        ","
          学历不限
        ",聊城·东昌府区·东城街道," 
          20-99人
         
          家具制造
        "
"
          枣庄润图商贸有限公司
        ",电商运营,"
          5000-10000元
        ","抖音小店
拼多多",抖音小店,"
          经验不限
        ","
          学历不限
        ",枣庄·薛城区·兴城街道," 
          20-99人
         
          日化
        "
"
          湖北帆云海文化传媒有限公司
        ",电商运营,"
          6000-12000元·13薪
        ","1688
抖音小店
京东",1688,"
          1-3年
        ","
          大专
        ",荆州·荆州区·城南街道,"
          民营
         
          20-99人
         
          新闻/出版
        "
"
          郑州嵘辉健康咨询有限公司
        ",电商运营,"
          7000-14000元
        ",,,"
          1年以下
        ","
          学历不限
        ",郑州·管城·金岱,"
          其它
         
          20-99人
         
          电子商务
        "
"
          昆明七月七花卉园艺有限公司
        ",电商运营,"
          6000-12000元
        ","京东
淘宝/天猫
拼多多",京东,"
          经验不限
        ","
          大专
        ",昆明·呈贡·斗南," 
          20-99人
         
          电子商务
        "
"
          陕西尚元农牧科技发展有限公司
        ",电商运营,"
          6000-8000元
        ","淘宝/天猫
京东
抖音小店",淘宝/天猫,"
          1-3年
        ","
          大专
        ",咸阳·三原县·陵前镇,"
          民营
         
          100-299人
         
          农/林/牧/渔
        "
