标题,薪水,关键词,标签,其它,其它1,其它2,公司,关键词3
新媒体运营岗底薪8000+提供住宿,"
          8000-16000元
        ","用户运营
内容运营
门店运营
提供住宿
11天带薪年假",用户运营,"
          经验不限
        ","
          本科
        ",上海·徐汇·虹梅路,"
          上海太屋网络科技有限公司
        ","
          民营
         
          1000-9999人
         
          房地产开发
        "
线下拓展运营专员,"
          7000-9000元
        ",,,"
          经验不限
        ","
          学历不限
        ",青岛·即墨·通济,"
          拼多多
        ","
          民营
         
          1000-9999人
         
          互联网
        "
运营经理（深圳）,"
          9000-12000元
        ",门店运营,门店运营,"
          经验不限
        ","
          本科
        ",东莞·莞城街道,"
          天虹股份
        ","
          国企
         
          10000人以上
         
          零售/批发
        "
线下运营助理（底薪6600+住宿）,"
          6000-8000元
        ","商家运营
产品运营",商家运营,"
          经验不限
        ","
          大专
        ",郑州·管城·北下街,"
          河南伊撒加网络科技有限公司
        ","
          民营
         
          100-299人
         
          咨询服务
        "
民宿收房专员,"
          4000-8000元
        ","民宿开发
民宿管家
民宿销售
线上运营
线下运营",民宿开发,"
          经验不限
        ","
          学历不限
        ",安阳·文峰区·中华路街道,"
          安阳安巢公寓管理有限公司
        ","
          合资
         
          20-99人
         
          房地产中介
        "
民宿管家,"
          5000-10000元
        ","民宿管家
民宿销售
线下运营
线上运营",民宿管家,"
          经验不限
        ","
          学历不限
        ",武汉·汉阳,"
          武汉超级星房地产经纪有限公司
        ","
          民营
         
          1000-9999人
         
          房地产中介
        "
外卖运营专员,"
          6000-8000元
        ","商家运营
用户运营
门店运营",商家运营,"
          经验不限
        ","
          大专
        ",郑州·管城·金岱,"
          郑州餐达运营管理有限公司
        ","
          民营
         
          20-99人
         
          企业服务
        "
宁津淘宝闪购/饿了么C端运营专员,"
          4000-8000元
        ","销售运营
产品运营
门店运营
消费品",销售运营,"
          经验不限
        ","
          大专
        ",德州·宁津县·津城街道,"
          东营蓝飙网络科技有限公司
        ","
          其它
         
          100-299人
         
          食品/饮料
        "
线下运营助理+免费住宿,"
          5000-10000元
        ","产品运营
销售运营",产品运营,"
          经验不限
        ","
          大专
        ",武汉·武昌,"
          武汉市通俊科技有限公司
        ","
          民营
         
          20-99人
         
          零售/批发
        "
商家运营/接受小白+提供住宿,"
          5000-10000元
        ","学习能力强
线下运营",学习能力强,"
          经验不限
        ","
          学历不限
        ",洛阳·西工·唐宫路,"
          洛阳亚臻信息科技有限公司
        ","
          其它
         
          20-99人
         
          新零售
        "
零售运营专员（本科可培养）,"
          1-1.2万
        ","用户运营
数据运营
门店运营",用户运营,"
          1-3年
        ","
          本科
        ",上海·静安·天目西路,"
          直值(上海)电子商务有限公司
        ","
          民营
         
          500-999人
         
          零售/批发
        "
公寓式客户管家（整体公寓运营管理）,"
          6000-12000元
        ","民宿管家
线下运营
线上运营",民宿管家,"
          经验不限
        ","
          高中
        ",西宁·城东区·大众街街道,"
          兰州久拾公寓管理有限公司
        ","
          民营
         
          20-99人
         
          房地产中介
        "
产品运营（底薪6600＋免费住宿＋晋升空间大）,"
          7000-12000元
        ","市场营销
产品运营",市场营销,"
          经验不限
        ","
          高中
        ",成都·金牛·荷花池,"
          成都拾月壹电子科技有限公司
        ","
          股份制企业
         
          100-299人
         
          互联网
        "
电话销售经理,"
          5000-10000元
        ","民宿开发
民宿管家
民宿销售
线上运营
线下运营",民宿开发,"
          经验不限
        ","
          学历不限
        ",贵阳,"
          栖泊(贵阳)旅游开发有限公司
        "," 
          20人以下
         
          旅游服务
        "
