标题,信息,薪水,关键词,标签,其它,其它1,其它2,关键词3
"
          仙琚制药
        ",调研助理（实习）,"
          3000-4000元
        ","市场信息收集
竞品分析
流行病学研究
诊断治疗
文献查阅",市场信息收集,"
          经验不限
        ","
          本科
        ",杭州·上城·四季青,"
          上市公司
         
          1000-9999人
         
          医药制造
        "
"
          山东汇景市场研究咨询有限公司
        ",商河神秘客市场调研,"
          100-130元/天
        ",用户调研,用户调研,"
          经验不限
        ","
          中专/中技
        ",济南·商河·许商,"
          民营
         
          20-99人
         
          咨询服务
        "
"
          浙江恒逸集团有限公司
        ",市场分析策划专员（经理）,"
          1.2-2.4万
        ","行业调研
商业调研
企业调研
市场
销售
定价策略",行业调研,"
          经验不限
        ","
          本科
        ",杭州·萧山·宁围,"
          民营
         
          10000人以上
         
          石油/石化
        "
"
          四川剑南春(集团)有限责任公司
        ",市场调研岗 (MJ001179),"
          6000-10000元
        ","竞品调研
行业调研",竞品调研,"
          经验不限
        ","
          本科
        ",成都·青羊·金沙,"
          其它
         
          1000-9999人
         
          快速消费品
        "
"
          南京千京粒科技有限公司
        ",市场调研员(包住+晋升+接受小白),"
          7000-9000元
        ","用户调研
产品调研
销售性质",用户调研,"
          经验不限
        ","
          大专
        ",南京·鼓楼·幕府山,"
          民营
         
          100-299人
         
          企业服务
        "
"
          南京博涯信息技术有限公司
        ",行业研究员,"
          8000-16000元·13薪
        ","股票市场
债券市场
期货市场",股票市场,"
          经验不限
        ","
          本科
        ",南京·江宁·麒麟,"
          民营
         
          20-99人
         
          人工智能
        "
"
          郑州慕凡科技有限公司
        ",海外问卷调研专员,"
          7000-14000元
        ","企业调研
产品调研
商业调研",企业调研,"
          经验不限
        ","
          学历不限
        ",郑州·金水·祭城路,"
          民营
         
          20-99人
         
          企业服务
        "
"
          上海有色网信息科技股份有限公司
        ",市场调研分析师,"
          5000-6000元·13薪
        ","行业调研
企业调研",行业调研,"
          经验不限
        ","
          本科
        ",烟台·芝罘·通伸,"
          民营
         
          300-499人
         
          互联网
        "
"
          郑州文承教育科技有限公司
        ",问卷调研合伙人,"
          3000-4000元
        ","有基本的逻辑能力
用户调研
行业调研
竞品调研",有基本的逻辑能力,"
          经验不限
        ","
          大专
        ",郑州·中原·西流湖,"
          股份制企业
         
          20-99人
         
          咨询服务
        "
"
          华润雪花
        ",业务管理研究,"
          1.5-2万·13薪
        ","市场分析
方案推广
效果评估
沟通能力
增量业务",市场分析,"
          经验不限
        ","
          本科
        ",深圳·宝安·新安,"
          国企
         
          10000人以上
         
          快速消费品
        "
"
          沈阳圣福时创资管科技有限公司
        ",分析师助理,"
          4000-8000元
        ",,,"
          经验不限
        ","
          大专
        ",沈阳·浑南·五三,"
          其它
         
          20-99人
         
          证券/期货
        "
"
          寿光亿调研科技服务有限公司
        ",问卷调研合伙人,"
          1-2万
        ","行业研究
兼职
市场研究",行业研究,"
          经验不限
        ","
          学历不限
        ",潍坊·寿光·圣城,"
          其它
         
          20人以下
         
          电子商务
        "
"
          山西联知信息科技有限公司
        ",市场分析师--有色金属方向,"
          8000-16000元
        ","产品调研
竞品调研
商业调研",产品调研,"
          经验不限
        ","
          大专
        ",太原·小店·平阳路,"
          股份制企业
         
          20-99人
         
          互联网
        "
"
          江苏华招网信息技术有限公司
        ",周末双休市场调研与分析专员,"
          4000-5000元
        ","行业分析
数据处理",行业分析,"
          经验不限
        ","
          本科
        ",南京·鼓楼·江东,"
          国企
         
          100-299人
         
          咨询服务
        "
"
          贵州雨睿文化科技有限公司
        ",坐班双休市场分析岗,"
          4000-6000元
        ","周末双休
早九晚五",周末双休,"
          1年以下
        ","
          大专
        ",贵阳·观山湖·长岭," 
          100-299人
         
          文化艺术/娱乐
        "
"
          河北御芝林生物科技有限公司
        ",市场调研专员,"
          5000-7000元
        ","竞品调研
行业调研
产品调研",竞品调研,"
          经验不限
        ","
          本科
        ",石家庄·裕华·长江,"
          民营
         
          1000-9999人
         
          医药制造
        "
"
          立信(重庆)数据科技股份有限公司
        ",数据分析员/研究员（银川）,"
          4000-7000元
        ","市场调研
数据分析",市场调研,"
          1-3年
        ","
          本科
        ",银川·兴庆区·解放西街街道,"
          民营
         
          100-299人
         
          咨询服务
        "
"
          湖北慢藏家茶文化传播有限公司
        ",市场问卷调研员,"
          150-200元/天
        ","商业调研
产品调研",商业调研,"
          经验不限
        ","
          大专
        ",宜昌·伍家岗区·伍家岗街道," 
          20-99人
         
          培训/辅导服务
        "
"
          武汉鑫亚泰科技有限公司
        ",市场调研/分析人员,"
          7000-12000元
        ","行业调研
竞品调研
企业调研",行业调研,"
          1-3年
        ","
          大专
        ",武汉·东西湖·吴家山,"
          民营
         
          100-299人
         
          印刷/包装/造纸
        "
"
          福州台江区泓研咨询服务有限公司
        ",调查分析师,"
          6000-12000元
        ",,,"
          经验不限
        ","
          本科
        ",上海·长宁·周家桥," 
          20-99人
         
          咨询服务
        "
"
          合肥市包河区成熠众日用百货经营部
        ",市场调研,"
          40元/时
        ",用户调研,用户调研,"
          经验不限
        ","
          学历不限
        ",合肥·包河·义城," 
          20人以下
         
          企业服务
        "
